sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,40-49,2020-05,19570,19570,19570,19570,19570,19570,19570,19570,19570,19570,19570,19570,19570,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-06,18825,18825,18825,18825,18825,18825,18825,18825,18825,18825,18825,18825,18825,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-07,19437,19437,19437,19437,19437,19437,19437,19437,19437,19437,19437,19437,19437,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-08,19425,19425,19425,19425,19425,19425,19425,19425,19425,19425,19425,19425,19425,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-09,18742,18742,18742,18742,18742,18742,18742,18742,18742,18742,18742,18742,18742,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-10,19341,19341,19341,19341,19341,19341,19341,19341,19341,19341,19341,19341,19341,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-11,18544,18544,18544,18544,18544,18544,18544,18544,18544,18544,18544,18544,18544,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-12,18913,18913,18913,18913,18913,18913,18913,18913,18913,18913,18913,18913,18913,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-01,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-01,11439,11439,11439,11439,11439,11439,11439,11408,11439,11439,11439,11408,11439,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-02,10692,10692,10692,10692,10692,10692,10692,10663,10692,10692,10692,10663,10692,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-03,11383,11383,11383,11383,11383,11383,11383,11352,11383,11383,11383,11352,11383,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-04,10969,10969,10969,10969,10942,10969,10942,10939,10969,10969,10969,10939,10969,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,70-79,2020-05,11235,11235,11235,11235,11218,11235,11218,11204,11235,11235,11235,11204,11235,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-06,10825,10825,10825,10825,10825,10825,10825,10795,10825,10825,10825,10795,10825,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-07,11160,11160,11160,11160,11160,11160,11160,11129,11160,11160,11160,11129,11160,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-08,11129,11129,11129,11129,11129,11129,11129,11098,11129,11129,11129,11098,11129,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-09,10718,10718,10718,10718,10711,10718,10711,10688,10718,10718,10718,10688,10718,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,70-79,2020-10,11036,11036,11036,11036,11036,11036,11036,11005,11036,11036,11036,11005,11036,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-11,10669,10669,10669,10669,10669,10669,10669,10639,10669,10669,10669,10639,10669,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-12,10976,10976,10976,10976,10976,10976,10976,10945,10976,10976,10976,10945,10976,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-01,10855,10855,10855,10855,10855,10855,10855,10824,10855,10855,10855,10824,10855,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-02,9622,9622,9622,9622,9622,9622,9622,9594,9622,9622,9622,9594,9622,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-03,10207,10207,10207,10207,10207,10207,10207,10176,10207,10207,10207,10176,10207,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-04,5850,5850,5850,5850,5850,5850,5850,5820,5850,5850,5850,5820,5850,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-01,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-02,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-03,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-04,5809,5809,5809,5809,5809,5809,5809,5809,5809,5809,5809,5809,5809,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-05,5983,5983,5983,5983,5983,5983,5983,5983,5983,5983,5983,5983,5983,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-06,5790,5790,5790,5790,5790,5790,5790,5790,5790,5790,5790,5790,5790,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-07,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-08,5937,5937,5937,5937,5937,5937,5937,5937,5937,5937,5937,5937,5937,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-09,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-10,5766,5766,5766,5766,5766,5766,5766,5766,5766,5766,5766,5766,5766,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-11,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-12,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-01,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-02,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-03,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-04,4691,4691,4691,4691,4691,4691,4691,4691,4691,4691,4691,4691,4691,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-06,7691,7691,7691,7691,7691,7691,7691,7691,7691,7691,7691,7691,7691,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-02,15732,15732,15732,15732,15732,15732,15732,15732,15732,15732,15732,15732,15732,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-03,16052,16052,16052,16052,16052,16052,16052,16052,16052,16052,16052,16052,16052,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-04,14952,14952,14952,14952,14952,14952,14952,14952,14952,14952,14952,14952,14952,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-05,14724,14724,14724,14724,14724,14724,14724,14724,14724,14724,14724,14724,14724,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-06,11401,11401,11401,11401,11401,11401,11401,11401,11401,11401,11401,11401,11401,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-01,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-02,14384,14384,14384,14384,14384,14384,14384,14384,14384,14384,14384,14384,14384,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-03,15376,15376,15376,15376,15376,15376,15376,15376,15376,15376,15376,15376,15376,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-04,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-05,15348,15348,15348,15348,15348,15348,15348,15348,15348,15348,15348,15348,15348,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-06,14814,14814,14814,14814,14814,14814,14814,14814,14814,14814,14814,14814,14814,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-07,15283,15283,15283,15283,15283,15283,15283,15283,15283,15283,15283,15283,15283,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-08,15279,15279,15279,15279,15279,15279,15279,15279,15279,15279,15279,15279,15279,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-09,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,0,0,0,0,0,0,0,0,0,0,0,0
