sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
M,0,,0,January,60-69,5211,2021
M,0,,0,February,60-69,4708,2021
M,0,,0,March,60-69,5076,2021
F,0,,0,August,25-29,2645,2019
F,0,,0,September,25-29,2594,2019
F,0,,0,October,25-29,2610,2019
F,0,,0,November,25-29,2479,2019
F,0,,0,December,25-29,2541,2019
F,0,,0,January,25-29,2440,2020
F,0,,0,February,25-29,2279,2020
F,0,,0,March,25-29,2367,2020
F,0,,0,April,25-29,2233,2020
F,0,,0,May,25-29,2276,2020
F,0,,0,June,25-29,2189,2020
F,0,,0,July,25-29,2337,2020
F,0,,0,August,25-29,2384,2020
F,0,,0,September,25-29,2376,2020
F,0,,0,October,25-29,2458,2020
F,0,,0,November,25-29,2375,2020
F,0,,0,December,25-29,2540,2020
F,0,,0,January,25-29,2578,2021
F,0,,0,February,25-29,2285,2021
F,0,,0,March,25-29,2389,2021
F,0,,0,April,25-29,2236,2021
F,0,,0,May,25-29,2172,2021
F,0,,0,June,25-29,1947,2021
M,1,astrazeneca,0,March,70-79,78,2021
M,1,astrazeneca,0,April,70-79,979,2021
M,1,astrazeneca,0,May,70-79,1343,2021
M,1,astrazeneca,0,June,70-79,1115,2021
M,2,astrazeneca,0,June,70-79,204,2021
F,0,,0,January,60-69,6165,2019
F,0,,0,February,60-69,5595,2019
F,0,,0,March,60-69,6191,2019
F,0,,0,April,60-69,5996,2019
F,0,,0,May,60-69,6286,2019
F,0,,0,June,60-69,6092,2019
F,0,,0,July,60-69,6324,2019
F,0,,0,August,60-69,6379,2019
F,0,,0,September,60-69,6117,2019
F,0,,0,October,60-69,6272,2019
F,0,,0,November,60-69,6105,2019
F,0,,0,December,60-69,6342,2019
F,0,,0,January,60-69,6378,2020
F,0,,0,February,60-69,6017,2020
F,0,,0,March,60-69,6391,2020
F,0,,0,April,60-69,6215,2020
F,0,,0,May,60-69,6383,2020
F,0,,0,June,60-69,6083,2020
F,0,,0,July,60-69,6297,2020
F,0,,0,August,60-69,6255,2020
F,0,,0,September,60-69,5944,2020
F,0,,0,October,60-69,6095,2020
F,0,,0,November,60-69,5923,2020
F,0,,0,December,60-69,6058,2020
F,0,,0,January,60-69,5919,2021
F,0,,0,February,60-69,5226,2021
F,0,,0,March,60-69,5431,2021
F,1,moderna,0,March,60-69,29,2021
F,1,moderna,0,April,60-69,150,2021
F,2,moderna,0,April,60-69,59,2021
F,2,moderna,0,May,60-69,186,2021
F,2,moderna,0,June,60-69,278,2021
F,0,,0,February,70-79,4307,2021
F,0,,0,March,70-79,4764,2021
F,0,,0,April,70-79,3116,2021
F,0,,0,May,70-79,1379,2021
F,1,astrazeneca,0,May,70-79,1808,2021
F,1,astrazeneca,0,June,70-79,1555,2021
F,0,,0,October,18-24,2474,2020
F,0,,0,November,18-24,2424,2020
F,0,,0,December,18-24,2417,2020
F,0,,0,January,18-24,2371,2021
F,0,,0,February,18-24,2051,2021
F,0,,0,March,18-24,2162,2021
F,0,,0,April,18-24,2018,2021
F,0,,0,May,18-24,1990,2021
F,0,,0,June,18-24,1606,2021
M,0,,0,February,60-69,5151,2019
M,0,,0,March,60-69,5729,2019
M,0,,0,January,25-29,2134,2019
M,1,moderna,0,May,30-39,73,2021
M,2,moderna,0,June,30-39,49,2021
M,1,pfizer,0,June,40-49,935,2021
F,1,pfizer,0,May,80+,1094,2021
F,1,pfizer,0,June,80+,907,2021
F,0,,0,April,60-69,4986,2021
F,0,,0,May,60-69,4085,2021
F,1,pfizer,0,May,60-69,580,2021
F,1,pfizer,0,June,60-69,2008,2021
M,0,,0,January,5-11,3376,2019
M,0,,0,February,5-11,3059,2019
M,0,,0,March,5-11,3402,2019
M,0,,0,April,5-11,3261,2019
M,0,,0,May,5-11,3366,2019
M,0,,0,June,5-11,3256,2019
M,0,,0,July,5-11,3370,2019
