sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,February,2021,70-79,11778,11778,11778,11778,11778,11778,11778,11750,11778,11778,11778,11750,11778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11439.66,0,0,11439.66,0,0,11439.66,0,0,11439.66,0,0,11439.66,0,0,11439.66,0,0,11466.92,0,0,11439.66,0,0,11439.66,0,0,11439.66,0,0,11466.92,0,0,11439.66
0,March,2021,70-79,12568,12568,12568,12568,12568,12568,12568,12537,12568,12568,12568,12537,12568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10720.59,0,0,10720.59,0,0,10720.59,0,0,10720.59,0,0,10720.59,0,0,10720.59,0,0,10747.09,0,0,10720.59,0,0,10720.59,0,0,10720.59,0,0,10747.09,0,0,10720.59
0,April,2021,70-79,7807,7807,7807,7807,7807,7807,7807,7777,7807,7807,7807,7777,7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17258.4,0,0,17258.4,0,0,17258.4,0,0,17258.4,0,0,17258.4,0,0,17258.4,0,0,17324.97,0,0,17258.4,0,0,17258.4,0,0,17258.4,0,0,17324.97,0,0,17258.4
0,May,2021,70-79,2970,2970,2970,2970,2960,2970,2960,2964,2970,2970,2970,2964,2970,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45365.77,0,0,45365.77,0,0,45365.77,12339.53,312.41,68751.44,0,0,45365.77,12339.53,312.41,68751.44,0,0,45457.6,0,0,45365.77,0,0,45365.77,0,0,45365.77,0,0,45457.6,0,0,45365.77
1,January,2020,0-4,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04,0,0,35336.04
1,February,2020,0-4,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6,0,0,37783.6
1,March,2020,0-4,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68
1,April,2020,0-4,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2
1,May,2020,0-4,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68,0,0,35625.68
1,June,2020,0-4,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2
